Name,Location,Locality,City,Cuisine,Rating,Votes,Cost,Unique_ID,Image_Path
Teddy Boy,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Italian,  Chinese",4.2,1753,2000,59501790-2e6d-4c97-b4ad-0ddb45dc0654,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/59501790-2e6d-4c97-b4ad-0ddb45dc0654.png
Tamra,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Japanese,  European,  Oriental ",4.4,491,4000,95bb0d83-d71e-4357-ae7b-dbf64fffa723,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/95bb0d83-d71e-4357-ae7b-dbf64fffa723.png
Cafe Delhi Heights,"Janpath, Central Delhi", Central Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,776,2000,fcab8f70-64b3-4dd7-8fb1-5416205352e7,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/fcab8f70-64b3-4dd7-8fb1-5416205352e7.png
The Imperial Spice,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  European,  Oriental ",4.4,500,2800,a289f06f-1bd9-46c8-89c4-137fbb42aa8d,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/a289f06f-1bd9-46c8-89c4-137fbb42aa8d.png
Informal By Imperfecto,"Janpath, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  Italian,  Continental,  Thai,  Oriental ",4.1,1634,2400,c0fbc12d-94f1-47d7-bfa3-4486ef215b30,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/c0fbc12d-94f1-47d7-bfa3-4486ef215b30.png
Boa Village,"The Exchange Store Building,Civil Lines, North Delhi", North Delhi,Delhi,"Asian,  Chinese,  Japanese,  Korean",4.4,4265,2000,17e2dd61-b9d0-4686-8f6c-2e4da9775a6d,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/17e2dd61-b9d0-4686-8f6c-2e4da9775a6d.png
Cafe MRP,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Oriental ",4.2,1534,1400,48caa141-869a-40bd-9a3a-0d7c4c0699de,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/48caa141-869a-40bd-9a3a-0d7c4c0699de.png
Caffe Tonino,"PVR Plaza,Connaught Place, Central Delhi", Central Delhi,Delhi,Italian,4.5,826,2000,79d45058-94d8-4551-aa69-e6ebcf47eb82,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/79d45058-94d8-4551-aa69-e6ebcf47eb82.png
Desi Vibes,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.2,881,2200,2b7abedf-f4f1-466f-b210-c429b02c2d44,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/2b7abedf-f4f1-466f-b210-c429b02c2d44.png
Cafe High5,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Continental,  Oriental ",3.9,310,1800,123f7035-dad2-4dd6-ba3d-5c1e250aa8ab,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/123f7035-dad2-4dd6-ba3d-5c1e250aa8ab.png
Master Of Malts,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"Continental,  Finger Food,  North Indian,  Italian,  Mediterranean,  European,  Asian",4.1,1269,2000,804c8c4b-b463-4742-b108-4f5dea6f8c9e,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/804c8c4b-b463-4742-b108-4f5dea6f8c9e.png
TEO - Lounge & Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Oriental ,  Italian",3.9,1098,1200,76054ee0-37b5-4c84-bb60-72a70b2843a9,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/76054ee0-37b5-4c84-bb60-72a70b2843a9.png
Connaught Clubhouse,"Janpath, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  Italian,  Mexican,  Asian",4.2,117,2500,a2fc3f72-98e2-4e36-b9d3-1be6c2338bfe,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/a2fc3f72-98e2-4e36-b9d3-1be6c2338bfe.png
Cafe Hawkers,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Fast Food",4.3,712,1200,5a95499c-ca4e-4068-bbe2-de7a8bb7d4de,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/5a95499c-ca4e-4068-bbe2-de7a8bb7d4de.png
Dhaba Estd 1986 Delhi,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.2,50,1200,527d38b4-7602-4c64-98c9-358953eac449,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/527d38b4-7602-4c64-98c9-358953eac449.png
My Bar Headquarters,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Chinese",4.1,2503,1500,2bae162b-6fd0-4257-b84b-877e9ec5a267,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/2bae162b-6fd0-4257-b84b-877e9ec5a267.png
Zaffran,"Hotel Palace Heights,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.5,335,1000,496f3ef7-4bb4-4cf7-aa35-898721583a79,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/496f3ef7-4bb4-4cf7-aa35-898721583a79.png
Oh My God,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.1,922,2200,7cf2ecd4-f8df-4800-bb5a-fa3148dd0406,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/7cf2ecd4-f8df-4800-bb5a-fa3148dd0406.png
Daryaganj,"Regal Cinema Complex,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.1,38,2000,4e229880-c251-4a21-a7bf-ff0c4886843b,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/4e229880-c251-4a21-a7bf-ff0c4886843b.png
Berco's,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai",4.3,1378,1500,f60d4588-e8c7-40cf-9d61-7b2fbfb5e043,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/f60d4588-e8c7-40cf-9d61-7b2fbfb5e043.png
Barbeque Nation,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Barbecue,  Mughlai",4.4,610,1700,2528b617-0031-4009-9e09-0877928f68c7,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/2528b617-0031-4009-9e09-0877928f68c7.png
Bagundi,"M-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"South Indian,  Andhra,  Seafood",4.3,167,1000,44718ab4-bba6-408f-a164-bce63015fd43,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/44718ab4-bba6-408f-a164-bce63015fd43.png
Biryani By Kilo,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Mughlai,  Biryani",4.1,181,800,f6c8669f-d6cf-43d6-b904-13f3a5957314,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/f6c8669f-d6cf-43d6-b904-13f3a5957314.png
Sincity,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental,  Mexican,  Asian,  Mughlai",3.8,110,1800,75f4c026-8a14-4d5e-8949-ef589cb22184,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/75f4c026-8a14-4d5e-8949-ef589cb22184.png
Naivedyam,"Connaught Place, Central Delhi", Central Delhi,Delhi,South Indian,3.8,54,500,4a7b853f-4f83-4102-81a8-ef0e6c33f128,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/4a7b853f-4f83-4102-81a8-ef0e6c33f128.png
AIR An Ivory Region,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Italian,  Street Food",4,3270,1200,33a9fae7-5305-4c58-92d4-2b04dce40f77,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/33a9fae7-5305-4c58-92d4-2b04dce40f77.png
Punjab Grill,"Janpath, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.1,147,2200,fcce1b6d-ea14-408d-a6be-b5bcc8d849a7,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/fcce1b6d-ea14-408d-a6be-b5bcc8d849a7.png
The Immigrant Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental",4,65,2100,bed44131-c6e4-49c7-a82c-266248af6027,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/bed44131-c6e4-49c7-a82c-266248af6027.png
Pind Balluchi,"Janpath, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4,180,1800,5989eeb5-9ce7-4922-ac62-ad4e15590949,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/5989eeb5-9ce7-4922-ac62-ad4e15590949.png
Bo-Tai Switch,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,"Italian,  Thai",4.1,69,1200,b8a9d7c8-b2d7-40d1-b647-b5ad0e00cd09,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/b8a9d7c8-b2d7-40d1-b647-b5ad0e00cd09.png
Taste of China,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai",4.1,91,2000,12c60e0e-98c7-4658-b8e2-a6736a296558,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/12c60e0e-98c7-4658-b8e2-a6736a296558.png
Blues,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  Finger Food,  North Indian,  Chinese,  Continental,  American",4.2,92,2000,abeef2ac-c48b-4372-9b96-1fa5fd404601,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/abeef2ac-c48b-4372-9b96-1fa5fd404601.png
Taco Bell,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Mexican,  Tex Mex",4,37,500,530be89e-6637-4b43-90b4-d610344c7efb,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/530be89e-6637-4b43-90b4-d610344c7efb.png
The Host,"F-Block,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Seafood,  Mughlai,  Oriental ",4.2,75,2500,c4d1822c-7766-47ca-bc56-60a1454757c6,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/c4d1822c-7766-47ca-bc56-60a1454757c6.png
THE ART HOUSE Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental",3.9,574,2500,a118b344-166f-4239-bad3-75ada47927ff,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/a118b344-166f-4239-bad3-75ada47927ff.png
DR Zombie,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Italian,  American,  Coffee",4.1,158,1800,4adf3496-5f63-4ba6-af8f-2de2ded1aac8,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/4adf3496-5f63-4ba6-af8f-2de2ded1aac8.png
Wok in the Clouds,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai,  Asian,  North Indian,  Continental",4.4,69,2200,6f875837-3b45-4eb2-882d-6a4cfc95268c,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/6f875837-3b45-4eb2-882d-6a4cfc95268c.png
Kinbuck 2,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental,  Asian,  Chinese,  South Indian,  Fast Food",3.8,263,1800,5b1d5323-732a-4c6c-82ec-23953351f8b5,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/5b1d5323-732a-4c6c-82ec-23953351f8b5.png
Ranisa,"Connaught Place, Central Delhi", Central Delhi,Delhi,Rajasthani,4.4,9,800,fe5f57a9-67a8-4c47-b375-ce68f62f5318,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/fe5f57a9-67a8-4c47-b375-ce68f62f5318.png
The Embassy,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  European",4.2,276,2800,93613952-244e-4fa8-a12b-fe7cafddfd23,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/93613952-244e-4fa8-a12b-fe7cafddfd23.png
World Of My Bar,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Fast Food",4.1,43,2200,27b31d2f-06a9-428a-8f5c-d9447adad459,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/27b31d2f-06a9-428a-8f5c-d9447adad459.png
Biryani Blues,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"Biryani,  Hyderabadi",4.2,187,1200,7708a11f-5b38-4857-a9ce-f4d6344a9874,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/7708a11f-5b38-4857-a9ce-f4d6344a9874.png
Chaayos,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Street Food,  Tea,  Fast Food",4.2,68,500,74abafb5-a200-4b9b-a4b2-6089c9cf8fe9,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/74abafb5-a200-4b9b-a4b2-6089c9cf8fe9.png
The Great Kabab Factory,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.2,146,3000,0c609352-619b-4d53-8f89-07715fc4899b,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/0c609352-619b-4d53-8f89-07715fc4899b.png
Khandani Rajdhani,"Scindia House,Connaught Place, Central Delhi", Central Delhi,Delhi,"Gujarati,  Rajasthani",4,417,1000,d5930222-4ba0-4b3e-8043-010019fd10e8,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/d5930222-4ba0-4b3e-8043-010019fd10e8.png
Mughal-E-Hazam,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,5,1,1200,a679d4be-f3bf-403a-9adb-a0aea9de859e,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/a679d4be-f3bf-403a-9adb-a0aea9de859e.png
Creme Borne,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Desserts,  Ice Cream,  Fast Food",4.8,9,500,5ff66389-07ec-4ab5-9da9-83ebb935e904,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/5ff66389-07ec-4ab5-9da9-83ebb935e904.png
The Imperial Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  European",4.4,23,2500,01703755-9f5d-4cec-8f8b-74f2875066b9,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/01703755-9f5d-4cec-8f8b-74f2875066b9.png
Sorrento,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,Italian,4.5,113,4000,dafdca90-90aa-4359-bfa3-980a2ca0c09f,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/dafdca90-90aa-4359-bfa3-980a2ca0c09f.png
Handi Chhadeyan Di,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.3,46,800,d08304d9-4b9f-416c-aa96-3ac8fa2fd1a4,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/d08304d9-4b9f-416c-aa96-3ac8fa2fd1a4.png
The Chai Story,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Fast Food,  Tea",4.1,169,400,2e3f1804-edb6-4475-9061-12cde8081544,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/2e3f1804-edb6-4475-9061-12cde8081544.png
Fifty9,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Oriental ",3.7,193,2800,76a241da-a867-4408-8f10-fd6e3d6f9280,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/76a241da-a867-4408-8f10-fd6e3d6f9280.png
Shang Palace,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,"Chinese,  Asian",4.6,152,4000,bb8a7622-2421-4ee5-870b-f7f0b7ff4a04,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/bb8a7622-2421-4ee5-870b-f7f0b7ff4a04.png
Veda,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Seafood,  Mughlai",4.1,318,2700,e1cc9599-51a8-4863-b7e8-362766f5d202,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/e1cc9599-51a8-4863-b7e8-362766f5d202.png
Baluchi,"The Lalit New Delhi,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.4,310,4000,0e4429d4-4f6e-4699-a8ed-3157777f565f,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/0e4429d4-4f6e-4699-a8ed-3157777f565f.png
The Connaught Bar,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,Finger Food,3.7,23,2200,bc97754e-96c5-4dff-89bd-dcd08596784e,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/bc97754e-96c5-4dff-89bd-dcd08596784e.png
Kapurthala Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Continental",2.9,20,1200,5ce15dc7-9f23-4a60-a9c5-bacd1ae61a14,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/5ce15dc7-9f23-4a60-a9c5-bacd1ae61a14.png
Bistro 55,"Paharganj, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",5,2,500,24327ff9-4033-48d4-8655-ac28e67ddfa7,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/24327ff9-4033-48d4-8655-ac28e67ddfa7.png
Giani,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Desserts,  Ice Cream,  Shakes",3,2,400,48d25d8f-a275-4967-a327-e11deccd711c,https://restaurant-resources-liminal.s3.ap-south-1.amazonaws.com/uuid_images/48d25d8f-a275-4967-a327-e11deccd711c.png
